date,JPM,BAC,spread,zscore_full,signal,position
2023-01-30,130.1709747314453,32.79838180541992,-75.36056905468882,-0.6091909719638644,0,1
2023-01-31,130.947509765625,32.96562576293945,-75.63207074932762,-0.6187055643638226,0,1
2023-02-01,130.6013641357422,33.37444305419922,-78.54007597025893,-0.7206146313069273,0,1
2023-02-02,129.99319458007812,33.56956481933594,-80.37097894773461,-0.7847773820320255,0,1
2023-02-03,132.00477600097656,33.84830093383789,-80.10610150334358,-0.7754949319807428,0,1
2023-02-06,132.78131103515625,33.79255294799805,-78.98022089289105,-0.7360392110368152,0,1
2023-02-07,134.39990234375,34.164207458496094,-79.69060806106839,-0.7609342466289871,0,1
2023-02-08,133.4549560546875,33.9133415222168,-79.06349925690319,-0.7389576447149729,0,1
2023-02-09,131.37789916992188,33.18861770629883,-76.59906365012205,-0.6525931734888868,0,1
2023-02-10,131.9579620361328,33.05854034423828,-75.20386907422676,-0.6036995276280879,0,1
2023-02-13,133.3894805908203,33.12357711791992,-74.17990442195307,-0.5678153821854214,0,1
2023-02-14,133.9788818359375,33.095706939697266,-73.41585429355621,-0.5410397646169814,0,1
2023-02-15,134.5402374267578,33.03995895385742,-72.50515312646306,-0.50912486104857,0,1
2023-02-16,132.687744140625,32.7797966003418,-72.7273351835137,-0.5169110802625367,0,1
2023-02-17,133.0807342529297,32.84484100341797,-72.74194678333629,-0.517423133849562,0,1
2023-02-21,130.6387481689453,32.07365417480469,-70.35127922078533,-0.4336438136072514,0,0
2023-02-22,129.63766479492188,31.859954833984375,-70.01321252071517,-0.4217964958236709,0,0
2023-02-23,130.67617797851562,31.83208465576172,-68.80005045384175,-0.3792820555482697,0,0
2023-02-24,131.8550567626953,31.785625457763672,-67.33003441953022,-0.3277663425193522,0,0
2023-02-27,133.005859375,31.785625457763672,-66.17923180722553,-0.2874372469553148,0,0
2023-02-28,134.11924743652344,31.86924934387207,-65.5898740625397,-0.2667836052684577,0,0
2023-03-01,133.37074279785156,31.7205867767334,-65.4067825295318,-0.2603672869070885,0,0
2023-03-02,131.98605346679688,31.318462371826172,-64.27155334067325,-0.2205839513853931,0,0
2023-03-03,134.40927124023438,31.94502830505371,-65.77472023779822,-0.2732614138751987,0,0
2023-03-06,133.6233673095703,31.879568099975582,-66.15041682695127,-0.2864274455517281,0,0
2023-03-07,129.69383239746094,30.86024284362793,-63.69233497186056,-0.2002856372361825,0,0
2023-03-08,128.92662048339844,30.44877243041992,-61.88106146701787,-0.1368107880410455,0,0
2023-03-09,121.94699096679688,28.559751510620117,-57.02311350208046,0.0334326973562665,0,0
2023-03-10,125.04383087158205,28.30725860595703,-52.344023082671626,0.1974082416063775,0,0
2023-03-13,122.79839324951172,26.661380767822266,-44.27554293397793,0.4801626457882954,0,0
2023-03-14,125.95137786865234,26.89516830444336,-42.58759136447853,0.5393157615580614,0,1
2023-03-15,120.00091552734376,26.64267349243164,-46.955791238735046,0.3862351652089584,0,0
2023-03-16,122.3305892944336,27.091550827026367,-47.43901391565862,0.3693009548517775,0,0
2023-03-17,117.70870208740234,26.016117095947266,-45.32167977025583,0.4435014912234665,0,0
2023-03-20,118.95304107666016,25.950658798217773,-43.6671453919154,0.5014835242364486,0,1
2023-03-21,122.14347076416016,26.736186981201172,-45.39923965983246,0.4407834575961288,0,0
2023-03-22,118.99047088623048,25.84779167175293,-42.98509721572587,0.5253854391110927,0,1
2023-03-23,118.67234802246094,25.22123336791992,-39.376883218646384,0.6518328468140473,0,1
2023-03-24,116.86663818359376,25.38020896911621,-42.17881600936671,0.5536410161101973,0,1
2023-03-27,120.2161102294922,26.64267349243164,-46.74059653658661,0.3937765173183687,0,0
2023-03-28,120.58101654052734,26.296669006347656,-44.20744800544239,0.4825489862875027,0,0
2023-03-29,120.82425689697266,26.811004638671875,-47.187299482093096,0.3781221161331041,0,0
2023-03-30,120.45938110351562,26.464994430541992,-45.38389719815595,0.4413211237401954,0,0
2023-03-31,121.9188995361328,26.74554443359375,-45.68244950142197,0.4308585611421092,0,0
2023-04-03,121.77857208251952,26.736186981201172,-45.7641383414731,0.4279958312510642,0,0
2023-04-04,120.150634765625,26.16574478149414,-43.817391192466005,0.4962182622499764,0,0
2023-04-05,120.3297882080078,25.84779167175293,-41.64577989394856,0.5723209045705917,0,1
