date,XOM,CVX,spread,zscore_full
2021-07-15,49.71245193481445,84.08116149902344,-21.403955194553433,0.1250286330862761
2021-07-16,48.33788299560547,81.8567123413086,-20.89707020141556,0.1903204412136515
2021-07-19,46.67657852172851,79.64885711669922,-20.69095600223047,0.21686999175806837
2021-07-20,47.19099044799805,80.12195587158203,-20.576694157915185,0.23158804914053366
2021-07-21,48.708927154541016,82.85272216796875,-21.36845779621403,0.12960104961620644
2021-07-22,48.16078567504883,82.02272033691406,-21.21457819175518,0.14942226694372532
2021-07-23,48.10176086425781,82.05591583251953,-21.30167997410858,0.13820269457926246
2021-07-26,49.316104888916016,83.79064178466797,-21.554578728587074,0.1056268298829275
2021-07-27,48.7679557800293,83.5084457397461,-21.8640445407261,0.06576456782801675
2021-07-28,49.09684371948242,83.98155212402344,-21.935313136220003,0.05658446676862345
2021-07-29,49.69559097290039,85.13529968261719,-22.31241326215134,0.00801023513730599
2021-07-30,48.548702239990234,84.50447082519531,-22.925742740484722,-0.07099267708210179
2021-08-02,48.5571403503418,84.35505676269531,-22.790929219634975,-0.0536273601848557
2021-08-03,49.07998275756836,85.1601791381836,-22.949064686921403,-0.07399677480153562
2021-08-04,47.9330940246582,83.25113677978516,-22.481272661780324,-0.013740528192317105
2021-08-05,48.2366828918457,84.02305603027344,-22.830578244550665,-0.05873454734225611
2021-08-06,48.79326629638672,84.62067413330078,-22.779464217038495,-0.052150554282445284
2021-08-09,48.2366828918457,83.20963287353516,-22.14257951389888,0.02988650422116166
2021-08-10,49.063106536865234,84.72856903076172,-22.600882200378663,-0.029147421570678574
2021-08-11,49.20648193359375,85.36770629882812,-22.998093367358493,-0.08031215450141585
2021-08-12,49.09518051147461,85.1933822631836,-22.961950357570316,-0.07565657682170027
2021-08-13,48.598670959472656,84.62897491455078,-22.981080410091337,-0.07812071708147982
2021-08-16,47.88814163208008,83.76575469970703,-22.961492322992186,-0.07559757743091958
2021-08-17,47.562835693359375,83.60806274414062,-23.153421354054245,-0.10031993780817483
2021-08-18,46.56124496459961,81.34519958496094,-22.24106733184695,0.017200297686339083
2021-08-19,45.14018249511719,79.31786346435547,-21.947395390307634,0.0550281527598929
2021-08-20,45.148738861083984,79.32627868652344,-21.945956675371235,0.055213473495067555
2021-08-23,47.00639724731445,81.37042999267578,-21.817255096237773,0.07179151175667096
2021-08-24,47.391624450683594,82.30416107177734,-22.221783866583408,0.0196841990270039
2021-08-25,47.47722625732422,82.86775970458984,-22.612877542189594,-0.030692540417249992
2021-08-26,46.83518600463867,81.78260803222656,-22.33708927356247,0.004831720436307014
2021-08-27,47.74260711669922,82.97714233398438,-22.440013240224346,-0.008425905995666956
2021-08-30,47.22041702270508,82.7668228149414,-22.78431368240051,-0.052775213458044194
2021-08-31,46.67253112792969,81.404052734375,-22.179559554780298,0.025123108645322943
2021-09-01,46.03048324584961,80.51239013671875,-22.067433265304857,0.03956608541041674
2021-09-02,47.15193557739258,82.19480895996094,-22.368981994435785,0.0007236220705815306
