date,JPM,BAC,spread,zscore_full
2021-04-27,134.5835723876953,35.70320129394531,-89.15106560712971,-1.0924695528363133
2021-04-28,135.45558166503906,35.83748245239258,-89.12053119158833,-1.0913994949921673
2021-04-29,138.08944702148438,36.80437088012695,-92.54568644171314,-1.21143173329871
2021-04-30,136.8614959716797,36.28511428833008,-90.51970839323829,-1.1404327092662967
2021-05-03,136.4611053466797,36.311981201171875,-91.08846092419762,-1.1603642552395987
2021-05-04,138.34750366210938,36.70589828491211,-91.67054982942352,-1.1807631653868464
2021-05-05,140.16270446777344,37.05504608154297,-92.04328884581523,-1.1938255509356608
2021-05-06,142.98338317871094,37.61009979248047,-92.70086240872482,-1.2168697696187027
2021-05-07,143.4727783203125,37.76231002807617,-93.16529495556327,-1.2331454926351693
2021-05-10,143.45501708984375,37.64592361450195,-92.45371900715668,-1.2082087970476536
2021-05-11,141.0703125,37.21620178222656,-92.14556539106383,-1.1974097629657585
2021-05-12,140.1004180908203,36.86704635620117,-90.92747216847428,-1.154722513689065
2021-05-13,143.7041473388672,37.45791244506836,-91.02641398926897,-1.158189862566661
2021-05-14,145.9375457763672,37.923465728759766,-91.71041207698372,-1.182160110765718
2021-05-17,146.5248260498047,38.263648986816406,-93.25489521228317,-1.236285472747469
2021-05-18,144.4604949951172,37.7443962097168,-92.06532107354786,-1.1945976553853879
2021-05-19,143.3571014404297,37.574310302734375,-92.10286878115198,-1.1959134892842564
2021-05-20,143.1079559326172,37.48477935791016,-91.79096730147833,-1.1849831138698905
2021-05-21,144.736328125,37.959266662597656,-93.13597680877518,-1.2321180581030133
2021-05-24,145.51939392089844,38.16517639160156,-93.6432473695248,-1.2498950102080524
2021-05-25,144.0155792236328,37.61009979248047,-91.66866636380294,-1.1806971606140109
2021-05-26,143.9977569580078,37.63697052001953,-91.854874440244,-1.187222696122266
2021-05-27,146.24009704589844,38.09355163574219,-92.47370665453585,-1.2089092505682104
2021-05-28,146.14222717285156,37.95030975341797,-91.67394915731828,-1.180882292523034
2021-06-01,147.7527618408203,38.4248046875,-93.03684399874271,-1.228644016137359
2021-06-02,147.7616729736328,38.44269943237305,-93.14007054885724,-1.2322615204424434
2021-06-03,147.85955810546875,38.88323974609375,-95.80283779664819,-1.3255763892589894
2021-06-04,148.09979248046875,38.90121841430664,-95.67526701142333,-1.321105757776663
2021-06-07,147.40577697753906,38.766357421875,-95.52417411432748,-1.315810809867375
2021-06-08,146.8184814453125,38.55059814453125,-94.75941094982551,-1.289010204433148
2021-06-09,144.9854736328125,38.04713439941406,-93.437455770914,-1.2426831834725969
2021-06-10,142.72535705566406,37.480743408203125,-92.14827484000958,-1.1975047137629593
2021-06-11,142.6274871826172,37.63357925415039,-93.2038927980004,-1.2344981277956815
2021-06-14,140.20718383789062,37.18406295776367,-92.80729563521106,-1.2205996497182592
2021-06-15,138.08053588867188,37.211029052734375,-95.10292701666415,-1.30104849157222
2021-06-16,139.05044555664062,37.417816162109375,-95.42885182239169,-1.3124703049191262
2021-06-17,135.0373992919922,35.78157043457031,-89.18834007952293,-1.0937758113928826
2021-06-18,131.6205291748047,34.86455535888672,-86.85872168704674,-1.012135917832199
2021-06-21,133.85394287109375,35.73661804199219,-90.09010166869842,-1.1253774335277202
2021-06-22,133.65821838378906,35.93440628051758,-91.52526907267,-1.1756718999864364
2021-06-23,134.46792602539062,36.14117813110352,-92.01130028533782,-1.1927045335703408
2021-06-24,135.70474243164062,36.70756912231445,-94.32378138714063,-1.2737438624243702
2021-06-25,137.07505798339844,37.417816162109375,-97.40423939563388,-1.3816964201238453
2021-06-28,137.32418823242188,37.36386489868164,-96.8170227578581,-1.3611178120737428
2021-06-29,137.1551513671875,36.761512756347656,-93.21141103063263,-1.234761599149549
2021-06-30,138.40089416503906,37.06719207763672,-93.88121221238242,-1.2582343264260323
2021-07-01,139.7711944580078,37.345890045166016,-94.25737684735375,-1.2714167604502205
2021-07-02,139.63694763183594,36.99526596069336,-92.1944326719148,-1.199122283617277
2021-07-06,137.292236328125,36.02431106567383,-88.45464079177992,-1.0680638184113966
2021-07-07,137.45327758789062,35.73661804199219,-86.49076695190155,-0.9992411941686923
2021-07-08,135.08172607421875,34.86455535888672,-83.39752478763268,-0.8908406244170477
2021-07-09,139.4042510986328,35.99734115600586,-86.17361868418104,-0.9881269486324795
2021-07-12,141.39996337890625,36.52776718139648,-87.50182892269669,-1.0346731739064698
2021-07-13,139.29685974121094,35.835506439208984,-85.26687039962957,-0.9563505711467102
2021-07-14,138.82254028320312,34.93647384643555,-80.10738884260559,-0.7755400459104174
2021-07-15,139.12686157226562,34.90950393676758,-79.63406021645201,-0.758952565839345
2021-07-16,135.94979858398438,34.09138488769531,-77.6843681058314,-0.6906269306618237
2021-07-19,131.52882385253906,33.20134353637695,-76.52788556956085,-0.6500987860219793
2021-07-20,133.98095703125,33.884613037109375,-78.35747080429641,-0.7142153573481719
2021-07-21,136.8000030517578,34.57686996459961,-79.87646303969433,-0.7674474080642456
2021-07-22,135.07273864746094,34.12734603881836,-78.78677912676184,-0.7292601757888176
2021-07-23,134.81326293945312,33.89359664916992,-77.58146083369576,-0.6870206152365561
2021-07-26,135.71710205078125,34.28017807006836,-79.10013990352874,-0.7402416912782066
2021-07-27,135.53810119628906,34.14533233642578,-78.43412797742232,-0.7169017558909005
2021-07-28,135.76187133789062,34.28017807006836,-79.05537061641937,-0.7386727820327262
2021-07-29,136.92532348632812,34.7746467590332,-80.99051380722071,-0.8064885602013466
2021-07-30,135.83351135253906,34.48696517944336,-80.27956507546722,-0.7815738449952375
2021-08-02,135.2875518798828,34.12734603881836,-78.57196589433997,-0.7217321920267614
2021-08-03,136.8268280029297,34.65777587890625,-80.35663619493894,-0.7842747500063738
2021-08-04,135.3502197265625,34.40604782104492,-80.2557868804571,-0.7807405543086765
2021-08-05,137.05953979492188,35.08032989501953,-82.77186538308504,-0.8689148157277469
2021-08-06,140.95249938964844,36.09624099731445,-85.24512770878397,-0.9555886133204454
2021-08-09,140.8003692626953,36.56372833251953,-88.32677412331466,-1.0635828179019666
2021-08-10,142.52760314941406,37.24699783325195,-90.88125865004244,-1.1531029923382614
2021-08-11,144.22796630859375,37.71449661254883,-92.11048349301052,-1.196180341687051
2021-08-12,144.79176330566406,37.8942985534668,-92.67341801311849,-1.2159079994234752
2021-08-13,143.1719512939453,37.42680358886719,-91.36366592754618,-1.1700086275768478
