date,MA,V,spread,zscore_full,signal,position
2024-04-01,473.6767578125,274.73272705078125,-0.5230439250914856,1.5076666985863203,0,-1
2024-04-02,474.6965637207031,274.8906555175781,0.2241710601163049,1.5626998979004512,0,-1
2024-04-03,472.7064514160156,273.4295349121094,0.7560120329497977,1.601870566102759,0,-1
2024-04-04,465.1319274902344,270.50726318359375,-1.7745526632150472,1.4154917138871352,0,-1
2024-04-05,472.4390869140625,273.60723876953125,0.1819234837305998,1.5595883177825458,0,-1
2024-04-08,474.7790222167969,274.2193603515625,1.465312171307346,1.6541112955588422,0,-1
2024-04-09,468.14593505859375,273.1925964355469,-3.3955389281173325,1.2961043060221444,0,-1
2024-04-10,465.1813354492187,270.9811706542969,-2.543128171514695,1.3588852887303224,0,-1
2024-04-11,464.3286437988281,272.16583251953125,-5.440594129104568,1.1454837581044224,0,-1
2024-04-12,461.4235229492187,272.4422912597656,-8.822893949035688,0.8963736842765339,0,-1
2024-04-15,455.881103515625,267.8219299316406,-6.390382804562762,1.0755307853756175,0,-1
2024-04-16,455.9107971191406,267.89111328125,-6.480102461420131,1.0689228347108517,0,-1
2024-04-17,456.2478942871094,269.2139587402344,-8.426290073949758,0.9255839926060582,0,-1
2024-04-18,450.8343505859375,267.9107360839844,-11.590418746021555,0.692542461971794,0,-1
2024-04-19,451.51849365234375,266.3410339355469,-8.196906266052281,0.9424783604511378,0,-1
2024-04-22,452.8669128417969,268.85858154296875,-11.193876099304646,0.7217482607651036,0,-1
2024-04-23,458.8853454589844,270.6158447265625,-8.208550830507079,0.9416207255679336,0,-1
2024-04-24,458.5680236816406,271.5142822265625,-10.076612080890982,0.8040359753172509,0,-1
2024-04-25,458.1813049316406,271.65252685546875,-10.701946653339064,0.7579794014465037,0,-1
2024-04-26,458.48870849609375,271.0206604003906,-9.303916024032103,0.8609458833734069,0,-1
2024-04-29,453.2139587402344,268.37481689453125,-10.011832846022289,0.8088070366777969,0,-1
2024-04-30,447.3641357421875,265.18597412109375,-10.35758420626638,0.7833420715765501,0,-1
2024-05-01,438.3117065429687,263.91241455078125,-17.21179806279116,0.2785217390414536,0,0
2024-05-02,437.3499755859375,264.1986999511719,-18.66766920313046,0.1712952403388044,0,0
2024-05-03,439.808837890625,265.0674743652344,-17.708346685077004,0.2419503909818124,0,0
2024-05-06,445.5496826171875,269.1942138671875,-19.090421294175428,0.1401590873607248,0,0
2024-05-07,449.208251953125,272.9359130859375,-21.890176187535133,-0.0660459167240496,0,0
2024-05-08,450.9037170410156,273.6566162109375,-21.43867385084411,-0.0327922767706125,0,0
2024-05-09,451.6176452636719,274.9894104003906,-23.02520231997056,-0.1496418303628737,0,0
2024-05-10,453.094970703125,277.16131591796875,-25.296673672528183,-0.3169381749977167,0,0
2024-05-13,453.8683166503906,275.82855224609375,-22.22292370805434,-0.0905531348346765,0,0
2024-05-14,450.338623046875,274.1995849609375,-22.94095387434379,-0.1434368403775693,0,0
2024-05-15,454.1062927246094,277.9116516113281,-25.58046141407499,-0.3378394519429443,0,0
2024-05-16,454.9688415527344,276.7841491699219,-22.771797756773992,-0.1309783076691621,0,0
2024-05-17,456.35699462890625,277.041259765625,-21.827427970695965,-0.0614244420584205,0,0
2024-05-20,455.7521362304687,275.4983215332031,-19.76911255739992,0.0901727349705811,0,0
2024-05-21,455.1968994140625,272.9366455078125,-15.902792916385408,0.3749313969732167,0,0
2024-05-22,452.6388549804687,272.57061767578125,-17.829058503523925,0.2330598337851936,0,0
2024-05-23,447.3739929199219,271.2353515625,-20.7891972317542,0.0150423851885599,0,0
2024-05-24,447.34429931640625,271.4925231933594,-21.262779474512683,-0.0198374639489849,0,0
2024-05-28,441.2960815429687,268.0209045410156,-21.318843002905908,-0.0239666040136207,0,0
2024-05-29,438.7082824707031,265.92401123046875,-20.287319387261732,0.0520062362810531,0,0
2024-05-30,438.3414611816406,268.3373718261719,-24.819698701714515,-0.2818084477354338,0,0
2024-05-31,443.2691955566406,269.4847106933594,-21.87231762931026,-0.0647306144165361,0,0
2024-06-03,439.4222106933594,267.4274597167969,-22.168404076946672,-0.0865377044904273,0,0
2024-06-04,440.98876953125,269.4451599121094,-24.084477406159408,-0.2276585967564338,0,0
2024-06-05,442.8627014160156,271.5024719238281,-25.76154928618763,-0.3511767713980345,0,0
2024-06-06,444.8655090332031,274.0147399902344,-28.095017990318524,-0.5230392886520349,0,-1
2024-06-07,445.9661254882813,275.6269226074219,-29.777093956495943,-0.6469260197009423,0,-1
2024-06-10,445.4306945800781,272.0364990234375,-24.115308501158097,-0.2299293405580506,0,0
2024-06-11,445.2224731445313,271.67059326171875,-23.691961788547587,-0.198749393052585,0,0
2024-06-12,439.2337951660156,267.36810302734375,-22.254367556903787,-0.0928690086262787,0,0
2024-06-13,441.2168273925781,268.22857666015625,-21.75654763271359,-0.0562040277936394,0,0
2024-06-14,440.8499755859375,267.7043762207031,-21.21860827330761,-0.0165842067633204,0,0
2024-06-17,444.3003234863281,268.20880126953125,-18.638918414692853,0.1734127672913523,0,0
2024-06-18,446.2833251953125,270.63201904296875,-20.838488618659596,0.0114120207369152,0,0
2024-06-20,448.6629638671875,273.7970886230469,-23.921888091058236,-0.2156837162181072,0,0
2024-06-21,450.9830627441406,272.2146301269531,-18.87040182840451,0.1563637611861463,0,0
2024-06-24,453.07513427734375,273.2827453613281,-18.62194040241627,0.1746632164285776,0,0
2024-06-25,451.7762451171875,270.5429992675781,-15.191916962991854,0.4272881869268481,0,0
2024-06-26,448.53411865234375,270.6122741699219,-18.55361471193214,0.1796954781164813,0,0
2024-06-27,438.9859313964844,263.6788635253906,-16.134454690689324,0.357869254415694,0,0
2024-06-28,437.4094543457031,259.60382080078125,-10.67724313499889,0.7597988425384098,0,-1
2024-07-01,433.8896179199219,260.3653869628906,-15.511573567224332,0.4037451290906725,0,0
2024-07-02,440.8697814941406,265.3009033203125,-17.05031090184957,0.2904154447228249,0,0
2024-07-03,444.3697204589844,266.0525817871094,-14.8477993813147,0.4526328224532208,0,0
2024-07-05,445.6686096191406,267.4076232910156,-15.88776667774573,0.3760380958515443,0,0
2024-07-08,442.4462585449219,263.4908752441406,-12.349652163382018,0.6366240920103999,0,-1
2024-07-09,441.5724792480469,262.5413818359375,-11.584567424091972,0.6929734182191615,0,-1
2024-07-10,430.5902404785156,260.1280212402344,-18.40124816823294,0.1909174403819618,0,0
2024-07-11,433.3507080078125,259.68292236328125,-14.872521969972354,0.4508119768116153,0,0
2024-07-12,437.0147399902344,262.8380432128906,-16.654356220539796,0.3195779392220809,0,0
2024-07-15,440.8774108886719,265.5185241699219,-17.418303898019758,0.2633123588568391,0,0
2024-07-16,440.4106750488281,266.30975341796875,-19.25073343071375,0.1283519235093009,0,0
2024-07-17,447.9870300292969,269.72210693359375,-17.56423867162613,0.2525641034795617,0,0
2024-07-18,445.5641479492187,266.2108459472656,-13.926542234395129,0.5204844169603802,0,-1
2024-07-19,440.5695495605469,262.5611267089844,-12.621577561288175,0.61659648962314,0,-1
2024-07-22,444.7897033691406,264.7865905761719,-12.24266442293839,0.6445038558809884,0,-1
2024-07-23,438.6134033203125,261.8984375,-13.433895416431994,0.5567683928724771,0,-1
2024-07-24,429.4085998535156,251.3944396972656,-4.508373716005224,1.214142809133131,0,-1
2024-07-25,426.57867431640625,250.9691467285156,-6.60422638299616,1.059780972394151,0,-1
2024-07-26,435.0983276367187,256.62664794921875,-7.849649054856059,0.968054233118783,0,-1
2024-07-29,438.19635009765625,258.7433166503906,-8.405082406098927,0.9271459604933832,0,-1
2024-07-30,444.3031311035156,260.2269592285156,-4.859128513735527,1.1883093353993148,0,-1
2024-07-31,460.4487609863281,262.7688903808594,6.899025361352528,2.054310203401167,-1,-1
2024-08-01,459.1578979492187,263.0260009765625,5.164379034149192,1.9265516078773384,0,-1
2024-08-02,458.7705993652344,263.66888427734375,3.667437863919531,1.8163002566415656,0,-1
2024-08-05,438.8914184570313,253.6396484375,1.0991237675702337,1.6271411198954302,0,-1
2024-08-06,445.1470947265625,255.4397735595703,4.247711248837675,1.8590380248623208,0,-1
2024-08-07,446.6763000488281,253.71875,8.747472862284155,2.1904503795944863,-1,-1
2024-08-08,452.3759460449219,256.9925842285156,8.796348530615319,2.1940501259193437,-1,-1
2024-08-09,453.5675354003906,257.4385986328125,9.218098979885667,2.225112506887339,-1,-1
2024-08-12,452.4851684570313,257.56744384765625,7.913339983021729,2.1290155825043917,-1,-1
2024-08-13,456.12933349609375,257.8052978515625,11.14695938849468,2.3671751815091495,-1,-1
2024-08-14,456.9237365722656,258.8062744140625,10.213636421333716,2.298434926170264,-1,-1
2024-08-15,465.41357421875,264.4156494140625,9.021465879619484,2.2106302644097005,-1,-1
2024-08-16,465.5823974609375,264.990478515625,8.198110836678438,2.1499892667296705,-1,-1
2024-08-19,463.69573974609375,264.088623046875,7.868092147217908,2.125683030005284,-1,-1
2024-08-20,465.8207092285156,265.64459228515625,7.307395774598149,2.084387130110407,-1,-1
2024-08-21,464.7085876464844,265.80316162109375,5.921577103507218,1.9823200722365844,0,-1
2024-08-22,465.5228271484375,265.5455017089844,7.180548037895107,2.075044655836308,-1,-1
2024-08-23,463.1595458984375,265.04998779296875,5.672543853919308,1.9639785015618396,0,-1
2024-08-26,465.3440856933594,265.8131103515625,6.539903239097896,2.027860467082433,-1,-1
2024-08-27,471.6494140625,268.3006591796875,8.55162169225855,2.1760257271326147,-1,-1
2024-08-28,468.4818420410156,266.78436279296875,8.001238578976427,2.135489410045821,-1,-1
2024-08-29,477.4185485839844,271.8684997558594,8.162519035325829,2.147367891708341,-1,-1
2024-08-30,479.940673828125,273.9001159667969,7.177992506394787,2.0748564381517127,-1,-1
2024-09-03,478.729248046875,276.0507507324219,2.2544841115548593,1.7122346704115066,0,-1
2024-09-04,479.7421569824219,277.98333740234375,-0.0683297317438587,1.5411568952885522,0,-1
2024-09-05,474.0027465820313,276.1300354003906,-2.608865897818646,1.354043633429289,0,-1
2024-09-06,472.7714538574219,276.8733825683594,-5.123205907900683,1.1688597470543944,0,-1
2024-09-09,483.664306640625,283.05755615234375,-4.904486923450236,1.1849686390109688,0,-1
2024-09-10,484.5877990722656,282.7900085449219,-3.519196497239534,1.286996791072735,0,-1
2024-09-11,484.74664306640625,281.4223327636719,-0.9996887726719592,1.4725612852605223,0,-1
2024-09-12,488.64898681640625,282.8197326660156,0.4906862113460306,1.582329029714212,0,-1
2024-09-13,489.89019775390625,284.7820739746094,-1.6551833401290992,1.4242833948349618,0,-1
2024-09-16,494.2096557617187,287.8840637207031,-2.689885131115659,1.348076478457052,0,-1
2024-09-17,497.4666137695313,288.95440673828125,-1.2803824744557917,1.451887887721265,0,-1
2024-09-18,491.2803955078125,285.9019470214844,-2.1979317717759272,1.384309380384562,0,-1
2024-09-19,489.5426635742187,282.6908874511719,1.6067550226630942,1.6645287159590167,0,-1
2024-09-20,489.2745666503906,282.22509765625,2.142630129304166,1.703996502519879,0,-1
2024-09-23,493.6436462402344,286.05059814453125,-0.0912588917038874,1.5394681376282184,0,-1
2024-09-24,483.9820556640625,270.3422546386719,17.360386934890528,2.8248009028263175,-1,-1
2024-09-25,486.00775146484375,267.22039794921875,24.77453368246495,3.370860904005242,-1,-1
2024-09-26,487.81494140625,269.2619934082031,23.057847264940676,3.2444250754341626,-1,-1
2024-09-27,490.1682434082031,272.71087646484375,19.458237579845957,2.9793098928233586,-1,-1
2024-09-30,490.32708740234375,272.4928894042969,19.993336059581907,3.0187204799648995,-1,-1
2024-10-01,492.8889770507813,275.11920166015625,18.022104501825027,2.8735371239563596,-1,-1
2024-10-02,492.0846557617187,274.5245056152344,18.24425264588513,2.8898985772614267,-1,-1
2024-10-03,491.4889221191406,274.3857421875,17.888030293521524,2.863662412160531,-1,-1
2024-10-04,494.19970703125,275.44622802734375,18.76837374203899,2.9285006681193275,-1,-1
2024-10-07,487.8446960449219,271.3432312011719,19.495301272417123,2.982039674239639,-1,-1
2024-10-08,493.5641784667969,272.5027770996094,23.213360561899663,3.255878799512195,-1,-1
2024-10-09,497.0939636230469,274.4551696777344,23.3732371404588,3.2676538840430007,-1,-1
2024-10-10,495.1749572753906,274.9903564453125,20.53047677993891,3.0582814803574734,-1,-1
2024-10-11,499.3907775878906,275.3570251464844,24.11341207991933,3.322168576302991,-1,-1
2024-10-14,503.7655944824219,278.171630859375,23.6301056436414,3.2865725296978914,-1,-1
2024-10-15,504.3323364257813,276.7940979003906,26.574525204988618,3.5034322444946775,-1,-1
2024-10-16,511.13323974609375,284.9505310058594,19.29709500086335,2.967441565979409,-1,-1
2024-10-17,510.8250427246094,287.7948913574219,14.07941693844026,2.583153881108575,-1,-1
2024-10-18,513.3903198242188,288.0228271484375,16.25126764116999,2.7431130561385317,-1,-1
2024-10-21,512.0679321289062,284.2865295410156,21.377880775469578,3.120693709647363,-1,-1
2024-10-22,510.08929443359375,282.2449035644531,22.923172113662076,3.234506103532234,-1,-1
2024-10-23,510.7952270507813,281.2241516113281,25.39096389845315,3.416261662302799,-1,-1
2024-10-24,507.7030029296875,280.68896484375,23.222493790222984,3.256551471747963,-1,-1
