date,KO,PEP,spread,zscore_full,signal,position
2019-10-16,44.47758865356445,113.927001953125,9.754143543527142,-0.0961416411539851,0,0
2019-10-17,44.727054595947266,114.37796783447266,9.866161042968235,-0.0779617858490955,0,0
2019-10-18,45.55024337768555,113.78502655029295,10.870070494799812,0.0849674766730201,0,0
2019-10-21,45.09291076660156,113.67644500732422,10.44583210354608,0.0161158007629745,0,0
2019-10-22,44.77693176269531,114.12740325927734,9.99240698203677,-0.0574727290807579,0,0
2019-10-23,45.433834075927734,114.7871551513672,10.44822563451728,0.0165042583427388,0,0
2019-10-24,45.40888595581055,115.15461730957033,10.31127990310832,-0.0057213188577798,0,0
2019-10-25,44.693790435791016,114.11072540283205,9.914348845446476,-0.0701411571001414,0,0
2019-10-28,44.54411315917969,114.05228424072266,9.78248366298213,-0.0915421877329962,0,0
2019-10-29,44.41106414794922,113.64306640625,9.774158841537734,-0.0928932627887089,0,0
2019-10-30,44.85176086425781,114.32784271240234,10.006144786284736,-0.0552431551777422,0,0
2019-10-31,45.25921630859375,114.55332946777344,10.344874846480486,-0.0002690349509864,0,0
2019-11-01,44.818511962890625,114.35291290283205,9.965254822075906,-0.0618793828783039,0,0
2019-11-04,44.186561584472656,112.87476348876952,9.7838248572887,-0.0913245188995476,0,0
2019-11-05,43.58786392211914,111.91436004638672,9.477845476320232,-0.1409833748822379,0,0
2019-11-06,43.90385437011719,112.27346801757812,9.684384558860842,-0.1074631601467944,0,0
2019-11-07,43.479774475097656,111.33814239501952,9.545379557046068,-0.1300229461825235,0,0
2019-11-08,43.41324996948242,111.17945861816406,9.527219770251053,-0.1329701847653189,0,0
2019-11-11,43.1055908203125,110.56146240234376,9.407917703338732,-0.1523322873373438,0,0
2019-11-12,42.997501373291016,110.21903228759766,9.40419643146069,-0.152936230334023,0,0
2019-11-13,43.579551696777344,111.31306457519533,9.652800166906047,-0.1125891420558356,0,0
2019-11-14,43.76249694824219,111.3464813232422,9.825560435033587,-0.0845510525371154,0,0
2019-11-15,43.795745849609375,111.74732971191406,9.736636043126351,-0.0989830170606489,0,0
2019-11-18,44.09510040283203,111.9561004638672,9.972360029216134,-0.0607262448564314,0,0
2019-11-19,44.13667678833008,112.3820343017578,9.884117407920805,-0.0750475615692442,0,0
2019-11-20,44.253074645996094,111.6888656616211,10.211783909676036,-0.0218689991134561,0,0
2019-11-21,44.03689193725586,111.83082580566406,9.952333624461543,-0.063976425788269,0,0
2019-11-22,44.09510040283203,111.96444702148438,9.969816108720472,-0.0611391098708177,0,0
2019-11-25,44.253074645996094,111.76405334472656,10.188867697167098,-0.0255881807558537,0,0
2019-11-26,44.818511962890625,113.3257064819336,10.278333768780923,-0.0110683044441032,0,0
2019-11-27,44.860084533691406,113.50110626220705,10.266446803754164,-0.0129974968049311,0,0
2019-11-29,44.734432220458984,113.43426513671876,10.161166782535012,-0.0300838945714368,0,0
2019-12-02,45.02763748168945,113.47604370117188,10.441638489255196,0.0154351990588374,0,0
2019-12-03,45.06951904296875,113.12529754638672,10.59042284481894,0.0395821231490546,0,0
2019-12-04,45.480010986328125,114.6619110107422,10.5325753043846,0.0301937693642691,0,0
2019-12-05,45.396236419677734,114.65768432617188,10.450088975352678,0.0168066688316381,0,0
2019-12-06,45.58890151977539,115.51546478271484,10.381313924400914,0.0056448371434832,0,0
2019-12-09,45.29570770263672,115.34732055664062,10.139368246022713,-0.0336216832350765,0,0
2019-12-10,45.04439163208008,114.59881591796876,10.116186500867038,-0.0373839594396673,0,0
2019-12-11,45.19517135620117,115.2968292236328,10.054220990848876,-0.0474406381875826,0,0
2019-12-12,45.35434341430664,115.36410522460938,10.19288821263737,-0.0249356720865357,0,0
2019-12-13,45.58890151977539,116.00324249267578,10.232645722417535,-0.01848323582709,0,0
2019-12-16,45.58890151977539,115.26317596435548,10.4582082232589,0.0181243803754248,0,0
2019-12-17,45.58890151977539,114.51471710205078,10.686328596627902,0.055147125934271,0,0
2019-12-18,45.16167449951172,114.34652709960938,10.310363667156665,-0.0058700191689755,0,0
2019-12-19,45.50513458251953,114.76701354980467,10.5256650351754,0.0290722687508122,0,0
2019-12-20,46.04965591430664,115.98640441894533,10.698532139374676,0.0571276972061737,0,0
2019-12-23,45.999385833740234,115.2463607788086,10.87381758363366,0.0855756096268336,0,0
2019-12-24,45.83184814453125,115.12019348144533,10.744734019869648,0.0646260211859375,0,0
2019-12-26,46.09154510498047,114.95206451416016,11.055674468402016,0.115090032532027,0,0
2019-12-27,46.36798477172851,115.66685485839844,11.114255481294188,0.1245974250671866,0,0
2019-12-30,46.30097198486328,115.05294036865234,11.234355720502675,0.1440890668355439,0,0
2019-12-31,46.36798477172851,114.93519592285156,11.3372554589306,0.1607891571327241,0,0
2020-01-02,46.06640625,114.2204132080078,11.253533265719298,0.1472014822963487,0,0
2020-01-03,45.81509017944336,114.06058502197266,11.050930714782105,0.1143201460871202,0,0
2020-01-06,45.798336029052734,114.4979019165039,10.900888152315162,0.0899690215857355,0,0
2020-01-07,45.446495056152344,112.69824981689452,11.0975573642405,0.1218874078518876,0,0
2020-01-08,45.530269622802734,113.2785186767578,11.004473648314324,0.1067804067563201,0,0
2020-01-09,46.359615325927734,113.35417938232422,11.810758967933374,0.2376363044354065,0,0
2020-01-10,46.51877975463867,113.13552856445312,12.036565277343811,0.2742834894957336,0,0
2020-01-13,47.02140808105469,114.81747436523438,12.026558743803491,0.272659481347237,0,0
